2019-12-06 09:42:54.867| main | DEBUG |  -  | Adding type registration Instant -> org.hibernate.type.InstantType@1b3bec6c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.867| main | DEBUG |  -  | Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1b3bec6c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.870| main | DEBUG |  -  | Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1b8fa2fa | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.872| main | DEBUG |  -  | Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1b8fa2fa | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.877| main | DEBUG |  -  | Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3dc82e6a | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.878| main | DEBUG |  -  | Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3dc82e6a | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.882| main | DEBUG |  -  | Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@85ab964 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.884| main | DEBUG |  -  | Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@85ab964 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.888| main | DEBUG |  -  | Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2d74cbbd | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.889| main | DEBUG |  -  | Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2d74cbbd | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.893| main | DEBUG |  -  | Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@7e58f697 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.894| main | DEBUG |  -  | Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@7e58f697 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.900| main | DEBUG |  -  | Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5a06904 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.901| main | DEBUG |  -  | Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5a06904 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.909| main | DEBUG |  -  | Adding type registration date -> org.hibernate.type.DateType@46ea78f0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.910| main | DEBUG |  -  | Adding type registration java.sql.Date -> org.hibernate.type.DateType@46ea78f0 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.914| main | DEBUG |  -  | Adding type registration time -> org.hibernate.type.TimeType@64dfb31d | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.915| main | DEBUG |  -  | Adding type registration java.sql.Time -> org.hibernate.type.TimeType@64dfb31d | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.920| main | DEBUG |  -  | Adding type registration timestamp -> org.hibernate.type.TimestampType@738a815c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.921| main | DEBUG |  -  | Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@738a815c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.922| main | DEBUG |  -  | Adding type registration java.util.Date -> org.hibernate.type.TimestampType@738a815c | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.928| main | DEBUG |  -  | Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@762405bf | [org.hibernate.type.BasicTypeRegistry:156]
